linkId,linkLength,linkFreeSpeed,linkCapacity,numberOfLanes,linkModes,attributeOrigId,attributeOrigType,fromNodeId,toNodeId,fromLocationX,fromLocationY,toLocationX,toLocationY
0,129.161,6.172839506172839,1500.0,1.0,"null;car;walk;bike",45868,primary,0,1,683519.1547911647,4820101.215268192,683392.999327628,4820071.675807575
1,129.161,6.172839506172839,1500.0,1.0,"null;car;walk;bike",45868,primary,1,0,683392.999327628,4820071.675807575,683519.1547911647,4820101.215268192
10,89.613,6.172839506172839,1500.0,1.0,"null;car;walk;bike",45878,primary,10,11,685929.6197850816,4822046.172949593,685931.0630949466,4822135.754025126
100,132.887,6.172839506172839,1500.0,1.0,"null;car;walk;bike",45968,primary,99,100,679274.4914297737,4823872.538873122,679260.0861418736,4823740.461636022
1000,324.518,3.4722222222222223,300.0,0.5,"null;car;walk;bike",46868,tertiary,817,818,683942.6660808098,4828977.549683925,684268.190766459,4828983.943524151
1001,324.518,3.4722222222222223,300.0,0.5,"null;car;walk;bike",46868,tertiary,818,817,684268.190766459,4828983.943524151,683942.6660808098,4828977.549683925
1002,398.673,3.4722222222222223,300.0,0.5,"null;car;walk;bike",46870,tertiary,819,820,684407.5899899306,4826613.831299248,684807.4698670147,4826623.100127296
1003,398.673,3.4722222222222223,300.0,0.5,"null;car;walk;bike",46870,tertiary,820,819,684807.4698670147,4826623.100127296,684407.5899899306,4826613.831299248
1004,230.557,18.055555555555554,6000.0,3.0,"null;car",46872,motorway,821,218,685730.8583222885,4822004.430291977,685841.8655923465,4822206.6885766545
1005,230.557,18.055555555555554,6000.0,3.0,"null",46872,motorway,218,821,685841.8655923465,4822206.6885766545,685730.8583222885,4822004.430291977
1006,83.21,6.172839506172839,1500.0,1.0,"null;car;walk;bike",46874,primary,475,139,681225.6507977233,4825889.7816762505,681308.9773233084,4825884.69688438
1007,83.21,6.172839506172839,1500.0,1.0,"null;car;walk;bike",46874,primary,139,475,681308.9773233084,4825884.69688438,681225.6507977233,4825889.7816762505
1008,170.43,4.62962962962963,1000.0,1.0,"null;car;walk;bike",46876,secondary,822,823,680857.5163177256,4824043.915628251,680863.7274571575,4823873.643672992
